DATE,TAVG,TMAX,TMIN
Nov-65,14.42,18.3,10.54
Dec-65,5.27,9.13,1.41
Jan-66,4.8,8.5,1.1
Feb-66,7.2,11.65,2.75
Mar-66,10.81,14.87,6.74
Apr-66,14.27,17.45,11.09
May-66,19.38,23.63,15.14
Jun-66,23.98,27.66,20.3
Jul-66,27.51,30.88,24.13
Aug-66,28.96,32.93,25
Sep-66,22.49,26.78,18.2
Oct-66,18.33,23.03,13.62
Nov-66,12.9,17.48,8.32
Dec-66,6.33,9.28,3.37
Jan-67,2.64,6.66,-1.38
Feb-67,4.49,8.03,0.96
Mar-67,9.27,13.22,5.33
Apr-67,14.08,17.37,10.79
May-67,19.66,23.12,16.2
Jun-67,24.78,28.42,21.13
Jul-67,28.43,32.08,24.77
Aug-67,29.96,34.05,25.87
Sep-67,24.32,28.59,20.04
Oct-67,18.55,22.96,14.14
Nov-67,12.79,15.76,9.82
Dec-67,1.56,5.73,-2.61
Jan-68,3.24,6.93,-0.44
Feb-68,2.16,6.07,-1.74
Mar-68,9.27,13.33,5.21
Apr-68,14.15,18.3,10
May-68,18.97,22.66,15.29
Jun-68,23,26.86,19.14
Jul-68,27.17,30.79,23.55
Aug-68,27.59,31.12,24.06
Sep-68,23.91,27.42,20.39
Oct-68,17.55,21.58,13.51
Nov-68,13.86,18.62,9.1
Dec-68,9.83,12.73,6.93
Jan-69,3.93,6.84,1.01
Feb-69,2.94,5.92,-0.04
Mar-69,7.17,10.52,3.83
Apr-69,14.7,18.59,10.8
May-69,20.02,24.39,15.65
Jun-69,22.65,26.72,18.57
Jul-69,27.08,30.21,23.95
Aug-69,28.42,31.96,24.88
Sep-69,25.38,28.59,22.16
Oct-69,18.02,22.72,13.32
Nov-69,10.56,14.96,6.16
Dec-69,5.38,10.51,0.26
Jan-70,2.46,6.21,-1.29
Feb-70,6.68,11,2.36
Mar-70,6.16,8.99,3.32
Apr-70,13.48,17.35,9.6
May-70,19.16,22.42,15.91
Jun-70,22.45,25.71,19.19
Jul-70,27.47,31.33,23.61
Aug-70,28.36,31.65,25.08
Sep-70,24.97,27.71,22.24
Oct-70,18.69,22.04,15.35
Nov-70,12.14,16.23,8.05
Dec-70,7.19,10.92,3.45
Jan-71,3.16,7.5,-1.17
Feb-71,4.46,7.98,0.94
Mar-71,7.76,11.85,3.67
Apr-71,14.48,18.83,10.13
May-71,19.92,24.08,15.77
Jun-71,25.23,28.62,21.84
Jul-71,30.14,34.26,26.03
Aug-71,28.61,32.71,24.5
Sep-71,23.07,26.28,19.86
Oct-71,16.64,20.35,12.93
Nov-71,12.53,17.25,7.8
Dec-71,6.39,10.73,2.04
Jan-72,5.19,8.71,1.67
Feb-72,2.7,5.17,0.23
Mar-72,8.77,13.17,4.36
Apr-72,13.79,18.2,9.38
May-72,18.71,22.72,14.7
Jun-72,23.63,27.75,19.52
Jul-72,27.02,30.44,23.6
Aug-72,27.24,30.39,24.09
Sep-72,22.7,26.69,18.72
Oct-72,17.57,21.85,13.29
Nov-72,12.01,15.87,8.14
Dec-72,6.71,10.64,2.77
Jan-73,4.85,7.67,2.04
Feb-73,7.13,9.76,4.5
Mar-73,9.98,13.41,6.55
Apr-73,16.32,20.22,12.43
May-73,18.9,22.01,15.8
Jun-73,23.21,26.29,20.12
Jul-73,28.18,31.34,25.03
Aug-73,28.74,32.19,25.3
Sep-73,22.27,25.21,19.34
Oct-73,18.02,21.77,14.27
Nov-73,11.8,16.57,7.04
Dec-73,4.76,9.96,-0.44
Jan-74,4.07,7.56,0.57
Feb-74,4.27,7.78,0.76
Mar-74,8.77,13.14,4.41
Apr-74,15.65,20.7,10.59
May-74,20.24,24.21,16.26
Jun-74,22.49,26.37,18.61
Jul-74,27.14,30.11,24.18
Aug-74,27.34,30.61,24.07
Sep-74,23.1,26.97,19.22
Oct-74,18.3,21.51,15.08
Nov-74,13.36,16.79,9.94
Dec-74,6.81,9.61,4.02
Jan-75,5.19,8.51,1.86
Feb-75,5.69,9.2,2.18
Mar-75,9.01,12.71,5.3
Apr-75,14.06,17.3,10.83
May-75,18.58,22.28,14.87
Jun-75,23.46,26.64,20.28
Jul-75,28.12,31.68,24.56
Aug-75,28.27,31.29,25.25
Sep-75,26.82,30.03,23.61
Oct-75,19.91,22.71,17.12
Nov-75,12.88,16.49,9.27
Dec-75,5.13,8.87,1.38
Jan-76,3.93,8.19,-0.34
Feb-76,7.11,11.15,3.06
Mar-76,8.06,11.18,4.94
Apr-76,14.39,18.42,10.36
May-76,19.47,23.09,15.85
Jun-76,23.2,26.32,20.08
Jul-76,25.77,28.95,22.59
Aug-76,28.85,32.43,25.28
Sep-76,22.18,25.62,18.73
Oct-76,18.23,22.17,14.29
Nov-76,9.12,13.59,4.64
Dec-76,6.44,10.19,2.68
Jan-77,1.52,3.84,-0.79
Feb-77,3.56,7.42,-0.31
Mar-77,10.27,14.67,5.87
Apr-77,15.63,19.57,11.69
May-77,18.65,21.93,15.36
Jun-77,23.47,26.6,20.33
Jul-77,28.7,32.1,25.31
Aug-77,26.51,29.54,23.48
Sep-77,24.16,26.88,21.43
Oct-77,19.83,23.84,15.83
Nov-77,12.09,16.29,7.89
Dec-77,9.13,13.01,5.24
Jan-78,4.22,7.91,0.52
Feb-78,4.93,9.05,0.8
Mar-78,7.93,11.18,4.68
