DATE,TAVG,TMAX,TMIN
2008-11,13.25,16.51,9.99
2008-12,7.82,12.18,3.47
2009-01,4.13,7.86,0.39
2009-02,9.07,11.75,6.38
2009-03,10.72,14.44,7
2009-04,16.44,20.6,12.29
2009-05,22.09,26.83,17.35
2009-06,26.73,30.48,22.97
2009-07,29.1,32.42,25.78
2009-08,28.27,30.76,25.77
2009-09,25.21,27.58,22.83
2009-10,21.37,24.79,17.95
2009-11,12.61,15.97,9.24
2009-12,6.65,9.74,3.56
2010-01,5.71,9.19,2.23
2010-02,7.79,11.06,4.52
2010-03,9.79,13.42,6.17
2010-04,13.17,16.59,9.75
2010-05,21.17,24.67,17.66
2010-06,24.3,27.16,21.44
2010-07,29.38,32.52,26.24
2010-08,31.15,34.8,27.5
2010-09,26.71,29.35,24.07
2010-10,19.25,22.2,16.3
2010-11,14.04,17.95,10.13
2010-12,8.36,12.48,4.24
2011-01,1.7,4.45,-1.05
2011-02,6.44,10.11,2.76
2011-03,9.35,13.59,5.12
2011-04,16.49,21.38,11.59
2011-05,22.03,26.39,17.67
2011-06,24.65,27.69,21.6
2011-07,30.46,33.7,27.22
2011-08,28.35,31.2,25.49
2011-09,24.65,27.65,21.65
2011-10,19.18,21.96,16.39
2011-11,16.83,19.9,13.76
2011-12,6.61,9.69,3.54
2012-01,4.83,7.24,2.43
2012-02,4.59,6.93,2.26
2012-03,9.76,13.17,6.36
2012-04,18.02,22.3,13.74
2012-05,21.51,25.46,17.55
2012-06,24.87,27.45,22.28
2012-07,30.15,33.59,26.7
2012-08,29.5,32.39,26.62
2012-09,24.15,27.12,21.17
2012-10,19.8,23.42,16.19
2012-11,12.14,15.79,8.5
2012-12,6.25,9.18,3.32
